record_id,scope,source_archive,relative_path,size_bytes,sha256,duplicate_group,canonical_record,material_state,notes
HIST-0013,project_library_selection,,historical_sources/DESIGN-LAB-SUMMARY.md,54845,fc10d45fce1ea2cb20638bd4583db713a4c1d73b45baa382f4b44d7135352ce8,DUP-0221,HIST-0013,materialized,
HIST-0014,project_library_selection,,historical_sources/DESIGN-LAB_Converged_Follow-up_TaskPack_2026-08-20.md,36860,a8b9ea678af75e613b3edfe9318dbcc8201bd2c9ceb77a4b282c140c3db10f2a,,,materialized,
HIST-0015,project_library_selection,,historical_sources/DESIGN-LAB_Follow-up_TaskPack_V1.1_2026-08-20.md,12569,b3f50bcf4031cb01b9bbfa73c5e19e92e53e8405680de05b54892b3864bf7cd1,,,materialized,
HIST-0016,project_library_selection,,historical_sources/DESIGN-LAB品牌视觉识别系统展板.png,1568690,ea866a03411bfd5e203ef7e9bfc6a16e4d2de576d01f8f8b8c2d4c2b5aebb36e,,,materialized,
HIST-0017,project_library_selection,,historical_sources/DESIGN-LAB完整项目对话与时间线汇报.md,8961542,df78b7fe3b109f6d0fdc646147f5c37c476689acca53a816c3a58a959069c0cf,DUP-0195,HIST-0017,materialized,
HIST-0018,project_library_selection,,historical_sources/OPEN-DESIGN-ARCHEAXIS-WORKSPACE-UI-MASTER-PROMPT-2026-08-11.md,8542,7fd93362692c6bf9042a4943003176e970844c9a0166053147e2a9862d3a2f97,,,materialized,
HIST-0019,project_library_selection,,historical_sources/OPEN-DESIGN-AUTHORITATIVE-CONTEXT-2026-08-07.md,18757,3113b0b457281bdc5df5868abe72497140d411070e4d6c5561aa434d4f9a3247,,,materialized,
HIST-0020,project_library_selection,,historical_sources/OPEN-DESIGN-Assistance-Authoritative-TaskPack-v4.1-20260808(1).zip,44441,513711fac14a19c14293e436f3e45e846db717273d66da2553c551cb6aaa0304,DUP-0073,HIST-0021,materialized,
HIST-0021,project_library_selection,,historical_sources/OPEN-DESIGN-Assistance-Authoritative-TaskPack-v4.1-20260808.zip,44441,513711fac14a19c14293e436f3e45e846db717273d66da2553c551cb6aaa0304,DUP-0073,HIST-0021,materialized,
HIST-0022,project_library_selection,,historical_sources/OPEN-DESIGN-Assistance-Complete-TaskPack-v3.0.zip,442109,5fe02967a3ff6cb5645b11e072e8f52ef2d4ca607e1b2d1c1b2a770de121d846,DUP-0090,HIST-0022,materialized,
HIST-0023,project_library_selection,,historical_sources/OPEN-DESIGN-Assistance-Final-TaskPack-v4.2-2026-08-10.zip,479018,26334ece1cc235080393324606051b984449267a60b6e8dfa0368be92e044af9,,,materialized,
HIST-0024,project_library_selection,,historical_sources/OPEN-DESIGN-Assistance-V2-Global-Absorption-Pack.zip,74454,51ed48a1409e6d2481097f6dcacb36306e064b4ef1f2d8f18b5f75b0d58eebd9,DUP-0075,HIST-0024,materialized,
HIST-0025,project_library_selection,,historical_sources/OPEN-DESIGN-Assistance-V2.1-Visual-Quality-Pack.zip,147466,225c9cfcee75b1a264be91d04bf57546b3a0474d2620774e334973e83799d37e,DUP-0025,HIST-0025,materialized,
HIST-0026,project_library_selection,,historical_sources/三项目联动分层架构决策文档：ArcheAxis _ WORK-LAB _ DESIGN-LAB.md,14765,9fec8dd2e60a0c98fde144fcf8e32a17837f1d85e686615bfb98280ae0247e37,,,materialized,
HIST-0027,project_library_selection,,historical_sources/从山泉到实验室.png,2523811,1729c8a525e3e17d925aca6e16975a6c627e64aadcd6bfada5f0f583f18c2b60,,,materialized,
HIST-0028,project_library_selection,,historical_sources/办公室宴会采购核单.png,2097183,e9b269806943476f358a802c667398498ffdf212fd254014213e943c876c7d97,,,materialized,
HIST-0029,project_library_selection,,historical_sources/图书室双面悬挂吊牌.png,1671374,3b0543ac258f7f80e530a7be8623d22dfb13ec1013207c7960e0fafaf532a74d,,,materialized,
HIST-0030,project_library_selection,,historical_sources/夜色会议室中的醇净酒瓶.png,1780144,e5cd077e5cc34994f4fff4f5502fffb8d0fcede00eb7234b3d40bd752a184b08,,,materialized,
HIST-0031,project_library_selection,,historical_sources/女质检员在实验室检测水样.png,1787492,e61e6eda096f1443bf12be3f64496341039b089d4f0911f601e5d57b12cb64fe,,,materialized,
HIST-0032,project_library_selection,,historical_sources/实验室水质检测.png,1811843,de2604293dd5d7b6b31f1c6854149bd7bdb3610134788d0d312359834eb6f0bc,,,materialized,
HIST-0033,project_library_selection,,historical_sources/未来智能城市展示室.png,1540433,0a51500927af631cce60c20bec1c4eed7110e06e4ba772147842cb120093ed71,,,materialized,
HIST-0034,project_library_selection,,historical_sources/清泉到实验室的纯净旅程.png,2411420,1b3e07ae17d48011f5252d6b6206eddb26029ed9aa20296b036938cbce791f3f,,,materialized,
HIST-0035,project_library_selection,,historical_sources/源头到实验室，层层品质严控.png,2466540,0eb3850cd5a022b0e6682d75c459579f9c32707745168fe8f61a92064bb56267,,,materialized,
HIST-0036,project_library_selection,,historical_sources/现代简约办公室走廊.png,2251633,0a76f512a07d2170d9226c42a46225d064b654b995a4bcf3d7f09e6e9c45c7ab,,,materialized,
HIST-0037,cross_project_library_selection,,cross_project_sources/03-DESIGN-LAB-DEEPENED-TASKPACK.md,12063,91b949721698f048bf5812f8492d2391c1305874f8df745f5719bae9b905151d,DUP-0130,HIST-0002,materialized,
HIST-0038,cross_project_library_selection,,cross_project_sources/ARCHEAXIS-CLEAN-SHEET-LANGUAGE-AUDIT-MIGRATION-TASKPACK-2026-09-01(1).md,35277,90bbd8ec652fdee505f25f350ab48208a133691ef22b277e090c769cbd9a33f2,DUP-0127,HIST-0039,materialized,
HIST-0039,cross_project_library_selection,,cross_project_sources/ARCHEAXIS-CLEAN-SHEET-LANGUAGE-AUDIT-MIGRATION-TASKPACK-2026-09-01.md,35277,90bbd8ec652fdee505f25f350ab48208a133691ef22b277e090c769cbd9a33f2,DUP-0127,HIST-0039,materialized,
HIST-0040,cross_project_library_selection,,cross_project_sources/ArcheAxis_Workspace_Incremental_TaskPack_OSS_Windows_LER_v1_2026-08-09.md,44148,93d10e51f772752d15356af6d871afd1a34e014e6504491bedc9f5c5b66c835e,,,materialized,
HIST-0041,cross_project_library_selection,,cross_project_sources/ArcheAxis完整项目对话与时间线汇报.md,20219699,fe4d647bb91be8df5f292ed0824b4195e34cca58cd9c19c2e64e159b3211dd1d,,,materialized,
HIST-0042,cross_project_library_selection,,cross_project_sources/ArcheAxis完整项目对话与时间线汇报.md.openai-download-29b2bcb35ff04d15a595f28b78f39a7c,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,,,transport_placeholder,zero-byte materialization sidecar; not counted as project content
HIST-0043,cross_project_library_selection,,cross_project_sources/DESIGN-LAB-COMPLETE-REPAIR-AND-MIGRATION-PLAN-2026-09-04.md,49647,4c5a26ecc0e9fe8c89cb2ceef126aec2767bc39a45a39fd94bc6625d767a6910,DUP-0068,HIST-0004,materialized,
HIST-0044,cross_project_library_selection,,cross_project_sources/DESIGN-LAB-MINIMAX-DESIGN-INTEGRATION-AUDIT-2026-09-02(1).md,22395,c1006b7c2379e813903c2334c0f547865cfd7c6b4b3b719db820cee60a01b82b,DUP-0170,HIST-0535,materialized,
HIST-0045,cross_project_library_selection,,cross_project_sources/DESIGN-LAB-MINIMAX-DESIGN-INTEGRATION-AUDIT-2026-09-02.md,22395,c1006b7c2379e813903c2334c0f547865cfd7c6b4b3b719db820cee60a01b82b,DUP-0170,HIST-0535,materialized,
HIST-0046,cross_project_library_selection,,cross_project_sources/DESIGN-LAB-NEW-CHAT-HANDOFF-2026-09-02(1).md,15927,e735b1ec5bd8456e345a2dcaeff7bd48abaee4bf7e7aad025345e2d59b652264,DUP-0206,HIST-0536,materialized,
HIST-0047,cross_project_library_selection,,cross_project_sources/DESIGN-LAB-NEW-CHAT-HANDOFF-2026-09-02.md,15927,e735b1ec5bd8456e345a2dcaeff7bd48abaee4bf7e7aad025345e2d59b652264,DUP-0206,HIST-0536,materialized,
HIST-0048,cross_project_library_selection,,cross_project_sources/DESIGN-LAB-Project-Identity-Architecture-Migration-TaskPack-2026-08-13.md,22579,2d9bb5860fc3d7757663b16774e107b45ae3982e413fa30ddc907087d4f5ba96,DUP-0037,HIST-0012,materialized,
HIST-0049,cross_project_library_selection,,cross_project_sources/DESIGN-LAB-Project-Identity-Architecture-Migration-TaskPack-2026-08-13.md.openai-download-0167d582ae004f439e15c35410410216,22579,2d9bb5860fc3d7757663b16774e107b45ae3982e413fa30ddc907087d4f5ba96,DUP-0037,HIST-0012,materialized,
HIST-0050,cross_project_library_selection,,cross_project_sources/DESIGN-LAB-SUMMARY.md,54845,fc10d45fce1ea2cb20638bd4583db713a4c1d73b45baa382f4b44d7135352ce8,DUP-0221,HIST-0013,materialized,
HIST-0051,cross_project_library_selection,,cross_project_sources/DESIGN-LAB完整项目对话与时间线汇报.md,8961542,df78b7fe3b109f6d0fdc646147f5c37c476689acca53a816c3a58a959069c0cf,DUP-0195,HIST-0017,materialized,
HIST-0052,cross_project_library_selection,,cross_project_sources/DESIGN-LAB完整项目对话与时间线汇报.md.openai-download-bcb78fdd0de84326bd70ca05a12f66c3,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,,,transport_placeholder,zero-byte materialization sidecar; not counted as project content
HIST-0053,cross_project_library_selection,,cross_project_sources/DSH_TRI_PROJECT_FULL_TASKPACK_2026-08-19.md,31053,060fec63c82730bbabb866596612987ff5ce66c8c494b8fe41e4d0696cf0a382,,,materialized,
HIST-0054,cross_project_library_selection,,cross_project_sources/DTALEX66 三仓库全面云端审计与视觉智能演进研究,82762,d361c80065533780c2e320ee1428b867b07cd95f934ec035a1091ac99f22d902,DUP-0187,HIST-0054,materialized,
HIST-0055,cross_project_library_selection,,cross_project_sources/DTALEX66 三仓库全面云端审计与视觉智能演进研究.openai-download-1c31e2757fc84f5fab2195ecef70d640,82762,d361c80065533780c2e320ee1428b867b07cd95f934ec035a1091ac99f22d902,DUP-0187,HIST-0054,materialized,
HIST-0056,cross_project_library_selection,,cross_project_sources/THREE-PROJECT-CLOUD-AUDIT-FRONTEND-OSS-FIRST-2026-08-31.md,33757,85e4d7c00ee78208f68810f65ab633b2093f84c53c992abb1be232b38f1eeb8a,,,materialized,
HIST-0057,cross_project_library_selection,,cross_project_sources/Tri_Project_Full_Audit_2026-08-24.md,140850,57244b298032b3d0381bafcad985b58c85cda086b9d290cb840ee05a9385f58b,,,materialized,
HIST-0058,cross_project_library_selection,,cross_project_sources/Tri_Project_Full_Audit_2026-08-24.md.openai-download-cd563edba77b499fb4bc472d867d96c9,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,,,transport_placeholder,zero-byte materialization sidecar; not counted as project content
HIST-0059,cross_project_library_selection,,cross_project_sources/WORK-LAB-SUMMARY.md,164397,280b10be0c5f793ff9bde19504f39f7cb887ce4aa671af48e7d6a81cc3987dfd,,,materialized,
HIST-0060,cross_project_library_selection,,cross_project_sources/WORK-LAB完整项目对话与时间线汇报.md,15558839,a3bf2a60c38d6457ba94279d7f7b4323543361e406822992556461109d41916c,,,materialized,
HIST-0061,cross_project_library_selection,,cross_project_sources/WORK-LAB完整项目对话与时间线汇报.md.openai-download-ececddc87bc644b2b3091d673cf44340,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,,,transport_placeholder,zero-byte materialization sidecar; not counted as project content
HIST-0062,historical_archive_extracted,OPEN-DESIGN-Assistance-Authoritative-TaskPack-v4.1-20260808,historical_extracted/OPEN-DESIGN-Assistance-Authoritative-TaskPack-v4.1-20260808/OPEN-DESIGN-Assistance-Authoritative-TaskPack-v4.1-20260808/00_START_HERE.md,3603,c04be4740eb6c485dade7ad2b446794622e33ae7e6b923d6276527c89b1f8340,DUP-0168,HIST-0062,materialized,
HIST-0063,historical_archive_extracted,OPEN-DESIGN-Assistance-Authoritative-TaskPack-v4.1-20260808,historical_extracted/OPEN-DESIGN-Assistance-Authoritative-TaskPack-v4.1-20260808/OPEN-DESIGN-Assistance-Authoritative-TaskPack-v4.1-20260808/01_MASTER_HERMES_TASKPACK.md,25817,02b22aa5708e8da41334b89149007e25352e13fa3529181fd77553b671b63458,DUP-0003,HIST-0063,materialized,
HIST-0064,historical_archive_extracted,OPEN-DESIGN-Assistance-Authoritative-TaskPack-v4.1-20260808,historical_extracted/OPEN-DESIGN-Assistance-Authoritative-TaskPack-v4.1-20260808/OPEN-DESIGN-Assistance-Authoritative-TaskPack-v4.1-20260808/02_CLOUD_DRIFT_AUDIT_20260808.md,9091,eb668ca07d4918ba69fea7a05358006462649ccb1c8d6c51af7772474c08197c,DUP-0212,HIST-0064,materialized,
HIST-0065,historical_archive_extracted,OPEN-DESIGN-Assistance-Authoritative-TaskPack-v4.1-20260808,historical_extracted/OPEN-DESIGN-Assistance-Authoritative-TaskPack-v4.1-20260808/OPEN-DESIGN-Assistance-Authoritative-TaskPack-v4.1-20260808/PACK_MANIFEST.json,2839,d283ce7e3843031b19058763052225ca26a80b67cf53fe405f87104a1f1a8c22,DUP-0186,HIST-0065,materialized,
HIST-0066,historical_archive_extracted,OPEN-DESIGN-Assistance-Authoritative-TaskPack-v4.1-20260808,historical_extracted/OPEN-DESIGN-Assistance-Authoritative-TaskPack-v4.1-20260808/OPEN-DESIGN-Assistance-Authoritative-TaskPack-v4.1-20260808/RUN_FIRST.ps1,1161,250461120bb551dec5fafe938770f7354a3f2c967707b3aa729f9e4ff8bad112,DUP-0029,HIST-0066,materialized,
HIST-0067,historical_archive_extracted,OPEN-DESIGN-Assistance-Authoritative-TaskPack-v4.1-20260808,historical_extracted/OPEN-DESIGN-Assistance-Authoritative-TaskPack-v4.1-20260808/OPEN-DESIGN-Assistance-Authoritative-TaskPack-v4.1-20260808/scripts/verify_taskpack.py,5694,f875811f3d63e2334f5b66dbb71bee11f77297acbb6c662d565be57136b6b485,DUP-0218,HIST-0067,materialized,
HIST-0068,historical_archive_extracted,OPEN-DESIGN-Assistance-Authoritative-TaskPack-v4.1-20260808,historical_extracted/OPEN-DESIGN-Assistance-Authoritative-TaskPack-v4.1-20260808/OPEN-DESIGN-Assistance-Authoritative-TaskPack-v4.1-20260808/tasks/phases.json,3496,4ce46a129de9d89aa70b3b09e6e7c54e136dba4a0cf39a294ab8b58f93a11766,DUP-0069,HIST-0068,materialized,
HIST-0069,historical_archive_extracted,OPEN-DESIGN-Assistance-Authoritative-TaskPack-v4.1-20260808,historical_extracted/OPEN-DESIGN-Assistance-Authoritative-TaskPack-v4.1-20260808/OPEN-DESIGN-Assistance-Authoritative-TaskPack-v4.1-20260808/tasks/task-cards.json,65497,93e4c5cbcc9c1a54b926d3b423b802a406d342ae13ef42f1deb84b3ce2adf20c,DUP-0132,HIST-0069,materialized,
HIST-0070,historical_archive_extracted,OPEN-DESIGN-Assistance-Authoritative-TaskPack-v4.1-20260808(1),historical_extracted/OPEN-DESIGN-Assistance-Authoritative-TaskPack-v4.1-20260808(1)/OPEN-DESIGN-Assistance-Authoritative-TaskPack-v4.1-20260808/00_START_HERE.md,3603,c04be4740eb6c485dade7ad2b446794622e33ae7e6b923d6276527c89b1f8340,DUP-0168,HIST-0062,materialized,
HIST-0071,historical_archive_extracted,OPEN-DESIGN-Assistance-Authoritative-TaskPack-v4.1-20260808(1),historical_extracted/OPEN-DESIGN-Assistance-Authoritative-TaskPack-v4.1-20260808(1)/OPEN-DESIGN-Assistance-Authoritative-TaskPack-v4.1-20260808/01_MASTER_HERMES_TASKPACK.md,25817,02b22aa5708e8da41334b89149007e25352e13fa3529181fd77553b671b63458,DUP-0003,HIST-0063,materialized,
HIST-0072,historical_archive_extracted,OPEN-DESIGN-Assistance-Authoritative-TaskPack-v4.1-20260808(1),historical_extracted/OPEN-DESIGN-Assistance-Authoritative-TaskPack-v4.1-20260808(1)/OPEN-DESIGN-Assistance-Authoritative-TaskPack-v4.1-20260808/02_CLOUD_DRIFT_AUDIT_20260808.md,9091,eb668ca07d4918ba69fea7a05358006462649ccb1c8d6c51af7772474c08197c,DUP-0212,HIST-0064,materialized,
HIST-0073,historical_archive_extracted,OPEN-DESIGN-Assistance-Authoritative-TaskPack-v4.1-20260808(1),historical_extracted/OPEN-DESIGN-Assistance-Authoritative-TaskPack-v4.1-20260808(1)/OPEN-DESIGN-Assistance-Authoritative-TaskPack-v4.1-20260808/PACK_MANIFEST.json,2839,d283ce7e3843031b19058763052225ca26a80b67cf53fe405f87104a1f1a8c22,DUP-0186,HIST-0065,materialized,
HIST-0074,historical_archive_extracted,OPEN-DESIGN-Assistance-Authoritative-TaskPack-v4.1-20260808(1),historical_extracted/OPEN-DESIGN-Assistance-Authoritative-TaskPack-v4.1-20260808(1)/OPEN-DESIGN-Assistance-Authoritative-TaskPack-v4.1-20260808/RUN_FIRST.ps1,1161,250461120bb551dec5fafe938770f7354a3f2c967707b3aa729f9e4ff8bad112,DUP-0029,HIST-0066,materialized,
HIST-0075,historical_archive_extracted,OPEN-DESIGN-Assistance-Authoritative-TaskPack-v4.1-20260808(1),historical_extracted/OPEN-DESIGN-Assistance-Authoritative-TaskPack-v4.1-20260808(1)/OPEN-DESIGN-Assistance-Authoritative-TaskPack-v4.1-20260808/scripts/verify_taskpack.py,5694,f875811f3d63e2334f5b66dbb71bee11f77297acbb6c662d565be57136b6b485,DUP-0218,HIST-0067,materialized,
HIST-0076,historical_archive_extracted,OPEN-DESIGN-Assistance-Authoritative-TaskPack-v4.1-20260808(1),historical_extracted/OPEN-DESIGN-Assistance-Authoritative-TaskPack-v4.1-20260808(1)/OPEN-DESIGN-Assistance-Authoritative-TaskPack-v4.1-20260808/tasks/phases.json,3496,4ce46a129de9d89aa70b3b09e6e7c54e136dba4a0cf39a294ab8b58f93a11766,DUP-0069,HIST-0068,materialized,
HIST-0077,historical_archive_extracted,OPEN-DESIGN-Assistance-Authoritative-TaskPack-v4.1-20260808(1),historical_extracted/OPEN-DESIGN-Assistance-Authoritative-TaskPack-v4.1-20260808(1)/OPEN-DESIGN-Assistance-Authoritative-TaskPack-v4.1-20260808/tasks/task-cards.json,65497,93e4c5cbcc9c1a54b926d3b423b802a406d342ae13ef42f1deb84b3ce2adf20c,DUP-0132,HIST-0069,materialized,
HIST-0078,historical_archive_extracted,OPEN-DESIGN-Assistance-Complete-TaskPack-v3.0,historical_extracted/OPEN-DESIGN-Assistance-Complete-TaskPack-v3.0/OPEN-DESIGN-Assistance-Complete-TaskPack-v3.0/00_START_HERE.md,1703,e01849fcf8754c6b0a6f95f5fe1286d817e17c9ae1a03a3ea07d65f518b1e130,,,materialized,
HIST-0079,historical_archive_extracted,OPEN-DESIGN-Assistance-Complete-TaskPack-v3.0,historical_extracted/OPEN-DESIGN-Assistance-Complete-TaskPack-v3.0/OPEN-DESIGN-Assistance-Complete-TaskPack-v3.0/01_MASTER_HERMES_TASKPACK.md,9189,d5d88f97435dccabdc8c87977069814f2a6cc7861f2fa29e53807bc5b18fe0f4,,,materialized,
HIST-0080,historical_archive_extracted,OPEN-DESIGN-Assistance-Complete-TaskPack-v3.0,historical_extracted/OPEN-DESIGN-Assistance-Complete-TaskPack-v3.0/OPEN-DESIGN-Assistance-Complete-TaskPack-v3.0/02_CONVERSATION_DECISIONS_SUMMARY.md,3809,3777fe849df285e251f507176782ffff4819ee8f6557f4a11c8b86edf3d09232,,,materialized,
HIST-0081,historical_archive_extracted,OPEN-DESIGN-Assistance-Complete-TaskPack-v3.0,historical_extracted/OPEN-DESIGN-Assistance-Complete-TaskPack-v3.0/OPEN-DESIGN-Assistance-Complete-TaskPack-v3.0/03_TARGET_PRODUCT_DEFINITION.md,1473,f616978d2c1607b7150fb47bc733fd792becbe4566adcafb4b241895bee9dcfc,,,materialized,
HIST-0082,historical_archive_extracted,OPEN-DESIGN-Assistance-Complete-TaskPack-v3.0,historical_extracted/OPEN-DESIGN-Assistance-Complete-TaskPack-v3.0/OPEN-DESIGN-Assistance-Complete-TaskPack-v3.0/04_TARGET_ARCHITECTURE.md,2160,9213ce52d82cc71b8a9807a732acea0bb36b3433f55892326a992186bd3a0283,,,materialized,
HIST-0083,historical_archive_extracted,OPEN-DESIGN-Assistance-Complete-TaskPack-v3.0,historical_extracted/OPEN-DESIGN-Assistance-Complete-TaskPack-v3.0/OPEN-DESIGN-Assistance-Complete-TaskPack-v3.0/05_EXECUTION_PLAN.md,1623,6f6b2595b75fdf667d67aa6aaf6410cb9f9126678aa1f7339e7fc9e4418fbd17,,,materialized,
HIST-0084,historical_archive_extracted,OPEN-DESIGN-Assistance-Complete-TaskPack-v3.0,historical_extracted/OPEN-DESIGN-Assistance-Complete-TaskPack-v3.0/OPEN-DESIGN-Assistance-Complete-TaskPack-v3.0/06_VISUAL_QUALITY_AND_MASTER_STYLE_PROGRAM.md,3519,bb1a6fb74ccc4d17076f9a26e39d0ec4c09e833b904322f94e07cb3c31a817b4,,,materialized,
HIST-0085,historical_archive_extracted,OPEN-DESIGN-Assistance-Complete-TaskPack-v3.0,historical_extracted/OPEN-DESIGN-Assistance-Complete-TaskPack-v3.0/OPEN-DESIGN-Assistance-Complete-TaskPack-v3.0/07_DOMAIN_CAPABILITY_MATRIX.md,1774,ff663ce8ba0b70b5805b1550ee01094492d7d6216114a07a80a115a3ec467abf,,,materialized,
HIST-0086,historical_archive_extracted,OPEN-DESIGN-Assistance-Complete-TaskPack-v3.0,historical_extracted/OPEN-DESIGN-Assistance-Complete-TaskPack-v3.0/OPEN-DESIGN-Assistance-Complete-TaskPack-v3.0/08_EVAL_AND_BENCHMARK_PLAN.md,1274,ccf1abd82c963fd438528d2cbc2f706b7f3dafc02b0dda25bb80682296722d5e,,,materialized,
HIST-0087,historical_archive_extracted,OPEN-DESIGN-Assistance-Complete-TaskPack-v3.0,historical_extracted/OPEN-DESIGN-Assistance-Complete-TaskPack-v3.0/OPEN-DESIGN-Assistance-Complete-TaskPack-v3.0/09_SOURCE_LICENSE_SECURITY_PLAN.md,1063,b1bb108f533cbc221e7f74e51a134ab77fa49b77080dd91a7ce6c8f975cf0b89,,,materialized,
HIST-0088,historical_archive_extracted,OPEN-DESIGN-Assistance-Complete-TaskPack-v3.0,historical_extracted/OPEN-DESIGN-Assistance-Complete-TaskPack-v3.0/OPEN-DESIGN-Assistance-Complete-TaskPack-v3.0/10_OPEN_DESIGN_RUNTIME_INTEGRATION.md,1270,75440002bfcba5bca6581323dcaf28000efa774d77c5e480c14c486bde4946f5,,,materialized,
HIST-0089,historical_archive_extracted,OPEN-DESIGN-Assistance-Complete-TaskPack-v3.0,historical_extracted/OPEN-DESIGN-Assistance-Complete-TaskPack-v3.0/OPEN-DESIGN-Assistance-Complete-TaskPack-v3.0/11_GITHUB_DELIVERY_AND_EVIDENCE.md,1074,7cc1aae678734f8c92b73640b0be6150bda245eba1a03e459e9d7bae2435cf01,,,materialized,
HIST-0090,historical_archive_extracted,OPEN-DESIGN-Assistance-Complete-TaskPack-v3.0,historical_extracted/OPEN-DESIGN-Assistance-Complete-TaskPack-v3.0/OPEN-DESIGN-Assistance-Complete-TaskPack-v3.0/12_RISK_REGISTER.md,1413,c90acb511f17dcb8d8d1b8e7b8d06ee7cc58bc322f549f4393ca250f8b2395ed,,,materialized,
HIST-0091,historical_archive_extracted,OPEN-DESIGN-Assistance-Complete-TaskPack-v3.0,historical_extracted/OPEN-DESIGN-Assistance-Complete-TaskPack-v3.0/OPEN-DESIGN-Assistance-Complete-TaskPack-v3.0/13_FINAL_ACCEPTANCE_CONTRACT.md,1234,508bfefa899cedad891d70568c20c5ad0d8116f1abda2636f86c9eca63014082,,,materialized,
HIST-0092,historical_archive_extracted,OPEN-DESIGN-Assistance-Complete-TaskPack-v3.0,historical_extracted/OPEN-DESIGN-Assistance-Complete-TaskPack-v3.0/OPEN-DESIGN-Assistance-Complete-TaskPack-v3.0/14_OVERLAY_FILE_PLAN.md,911,780fbd8d97372e063d53d05b7682fd7f99db83b19c83a652943fc885b4fa9816,,,materialized,
HIST-0093,historical_archive_extracted,OPEN-DESIGN-Assistance-Complete-TaskPack-v3.0,historical_extracted/OPEN-DESIGN-Assistance-Complete-TaskPack-v3.0/OPEN-DESIGN-Assistance-Complete-TaskPack-v3.0/15_HERMES_START_COMMAND.md,1375,0701c5d590dbe3b4fbf5502ffaf3c44b8a4b3b0546727e04fa9dc3f53924532b,,,materialized,
HIST-0094,historical_archive_extracted,OPEN-DESIGN-Assistance-Complete-TaskPack-v3.0,historical_extracted/OPEN-DESIGN-Assistance-Complete-TaskPack-v3.0/OPEN-DESIGN-Assistance-Complete-TaskPack-v3.0/PACK_MANIFEST.json,46827,5dd48c44f2636d1dda82c836f9fc823a77ee0ae0a846db9f84a51b1cc63d30ac,,,materialized,
